2026-01-02 20:27:49 | INFO | User logged in: lhernandez@mail.com
2026-01-02 20:28:46 | INFO | Shutting down the application...
2026-01-02 20:28:47 | DEBUG | Logger initialized in development mode with level DEBUG
2026-01-02 20:28:47 | INFO | Starting up the application...
2026-01-02 20:28:49 | DEBUG | Logger initialized in development mode with level DEBUG
2026-01-02 20:28:49 | INFO | Starting up the application...
2026-01-02 20:28:49 | INFO | Shutting down the application...
2026-01-02 20:28:49 | INFO | Starting up the application...
2026-01-02 20:28:49 | INFO | Shutting down the application...
2026-01-02 20:28:49 | INFO | Starting up the application...
2026-01-02 20:28:49 | INFO | Shutting down the application...
2026-01-02 20:28:49 | INFO | Starting up the application...
2026-01-02 20:28:49 | INFO | Shutting down the application...
2026-01-02 20:28:49 | INFO | Starting up the application...
2026-01-02 20:28:49 | INFO | Shutting down the application...
2026-01-02 20:28:50 | INFO | Starting up the application...
2026-01-02 20:28:50 | INFO | Shutting down the application...
2026-01-02 20:28:50 | INFO | Starting up the application...
2026-01-02 20:28:50 | INFO | Shutting down the application...
2026-01-02 20:28:50 | INFO | Starting up the application...
2026-01-02 20:28:50 | INFO | Shutting down the application...
2026-01-02 20:29:01 | INFO | Shutting down the application...
2026-01-02 20:29:02 | DEBUG | Logger initialized in development mode with level DEBUG
2026-01-02 20:29:02 | INFO | Starting up the application...
2026-01-02 20:29:06 | DEBUG | Logger initialized in development mode with level DEBUG
2026-01-02 20:29:06 | INFO | Starting up the application...
2026-01-02 20:29:06 | DEBUG | Creating new user
2026-01-02 20:29:06 | INFO | User created with email: test@mail.com
2026-01-02 20:29:06 | INFO | Shutting down the application...
2026-01-02 20:29:06 | INFO | Starting up the application...
2026-01-02 20:29:06 | INFO | Shutting down the application...
2026-01-02 20:29:06 | INFO | Starting up the application...
2026-01-02 20:29:06 | INFO | Shutting down the application...
2026-01-02 20:29:06 | INFO | Starting up the application...
2026-01-02 20:29:07 | INFO | Shutting down the application...
2026-01-02 20:29:07 | INFO | Starting up the application...
2026-01-02 20:29:07 | INFO | Shutting down the application...
2026-01-02 20:29:07 | INFO | Starting up the application...
2026-01-02 20:29:07 | INFO | Shutting down the application...
2026-01-02 20:29:07 | INFO | Starting up the application...
2026-01-02 20:29:07 | INFO | Shutting down the application...
2026-01-02 20:29:07 | INFO | Starting up the application...
2026-01-02 20:29:07 | INFO | Shutting down the application...
2026-01-02 20:29:32 | INFO | Shutting down the application...
2026-01-02 20:29:33 | DEBUG | Logger initialized in development mode with level DEBUG
2026-01-02 20:29:33 | INFO | Starting up the application...
2026-01-02 20:29:37 | DEBUG | Logger initialized in development mode with level DEBUG
2026-01-02 20:29:37 | INFO | Starting up the application...
2026-01-02 20:29:37 | DEBUG | Creating new user
2026-01-02 20:29:37 | INFO | User created with email: test@mail.com
2026-01-02 20:29:37 | INFO | Shutting down the application...
2026-01-02 20:29:37 | INFO | Starting up the application...
2026-01-02 20:29:37 | DEBUG | Creating new user
2026-01-02 20:29:37 | INFO | User created with email: duplicate@mail.com
2026-01-02 20:29:37 | DEBUG | Creating new user
2026-01-02 20:29:37 | WARNING | User attempted to create user with existing email
2026-01-02 20:29:37 | INFO | Shutting down the application...
2026-01-02 20:29:38 | INFO | Starting up the application...
2026-01-02 20:29:38 | INFO | Shutting down the application...
2026-01-02 20:29:38 | INFO | Starting up the application...
2026-01-02 20:29:38 | DEBUG | Creating new user
2026-01-02 20:29:38 | INFO | User created with email: testlogin@mail.com
2026-01-02 20:29:38 | INFO | User logged in: testlogin@mail.com
2026-01-02 20:29:38 | INFO | Shutting down the application...
2026-01-02 20:29:38 | INFO | Starting up the application...
2026-01-02 20:29:38 | INFO | Shutting down the application...
2026-01-02 20:29:38 | INFO | Starting up the application...
2026-01-02 20:29:38 | INFO | Shutting down the application...
2026-01-02 20:29:38 | INFO | Starting up the application...
2026-01-02 20:29:38 | INFO | Shutting down the application...
2026-01-02 20:29:38 | INFO | Starting up the application...
2026-01-02 20:29:38 | DEBUG | Creating new user
2026-01-02 20:29:38 | INFO | User created with email: roletester@mail.com
2026-01-02 20:29:38 | INFO | Shutting down the application...
2026-01-02 20:31:23 | INFO | Shutting down the application...
2026-01-02 20:31:23 | DEBUG | Logger initialized in development mode with level DEBUG
2026-01-02 20:31:23 | INFO | Starting up the application...
2026-01-02 20:31:37 | INFO | Shutting down the application...
2026-01-02 20:31:37 | DEBUG | Logger initialized in development mode with level DEBUG
2026-01-02 20:31:37 | INFO | Starting up the application...
2026-01-02 20:31:38 | DEBUG | Logger initialized in development mode with level DEBUG
2026-01-02 20:31:38 | INFO | Starting up the application...
2026-01-02 20:31:40 | DEBUG | Logger initialized in development mode with level DEBUG
2026-01-02 20:31:40 | INFO | Starting up the application...
2026-01-02 20:31:40 | DEBUG | Creating new user
2026-01-02 20:31:40 | INFO | User created with email: test@mail.com
2026-01-02 20:31:40 | INFO | Shutting down the application...
2026-01-02 20:31:40 | INFO | Starting up the application...
2026-01-02 20:31:40 | DEBUG | Creating new user
2026-01-02 20:31:40 | INFO | User created with email: duplicate@mail.com
2026-01-02 20:31:40 | DEBUG | Creating new user
2026-01-02 20:31:40 | WARNING | User attempted to create user with existing email
2026-01-02 20:31:40 | INFO | Shutting down the application...
2026-01-02 20:31:40 | INFO | Starting up the application...
2026-01-02 20:31:40 | INFO | Shutting down the application...
2026-01-02 20:31:40 | INFO | Starting up the application...
2026-01-02 20:31:40 | DEBUG | Creating new user
2026-01-02 20:31:40 | INFO | User created with email: testlogin@mail.com
2026-01-02 20:31:40 | INFO | User logged in: testlogin@mail.com
2026-01-02 20:31:40 | INFO | Shutting down the application...
2026-01-02 20:31:41 | INFO | Starting up the application...
2026-01-02 20:31:41 | INFO | Shutting down the application...
2026-01-02 20:31:41 | INFO | Starting up the application...
2026-01-02 20:31:41 | INFO | Shutting down the application...
2026-01-02 20:31:41 | INFO | Starting up the application...
2026-01-02 20:31:41 | INFO | Shutting down the application...
2026-01-02 20:31:41 | INFO | Starting up the application...
2026-01-02 20:31:41 | DEBUG | Creating new user
